sesion_id,equipo,equipo_id,sintoma,antiguedad_anios,temp_ambiente,falla_diagnosticada_id,falla_correcta_id,fue_correcto,probabilidad,nivel_usuario,fecha
53,Aire Acondicionado,3,exterior_no_control_no,3,29.3,12,12,1,87,normal,2025-01-28 08:00:00
54,Enfriador Comercial,4,cristales_resist_si,13,29.8,16,16,1,85,tecnico,2024-07-15 14:00:00
55,Enfriador Comercial,4,comp_func_cond_sucio,2,25.8,8,8,1,92,tecnico,2025-02-02 13:00:00
56,Aire Acondicionado,3,filtros_sucios,11,21.2,13,13,1,97,normal,2024-10-12 10:00:00
57,Refrigerador,1,ruido_vibracion,2,24.2,3,3,1,74,normal,2025-01-21 14:00:00
58,Cuarto Frio,5,alarmas,13,30.1,15,15,1,90,tecnico,2024-08-16 09:00:00
59,Enfriador Comercial,4,cristales_resist_si,4,29.1,16,16,1,85,normal,2024-11-16 10:00:00
60,Congelador,2,hielo_evaporador,1,34.7,11,11,1,74,normal,2024-06-12 15:00:00
61,Refrigerador,1,escarcha_poca_burbujeo_si,2,27.3,1,1,1,79,normal,2024-06-18 15:00:00
62,Enfriador Comercial,4,cristales_resist_si,1,30.5,16,16,1,85,normal,2025-01-29 16:00:00
63,Refrigerador,1,gotea,8,19.5,9,9,1,89,normal,2024-08-02 15:00:00
64,Cuarto Frio,5,consumo_alto_cf,13,30.4,8,8,1,86,normal,2024-09-05 07:00:00
65,Enfriador Comercial,4,comp_no_ec,9,30.9,3,3,1,90,tecnico,2024-11-14 15:00:00
66,Refrigerador,1,compresor_no_voltaje_no,8,22.9,17,17,1,94,normal,2024-08-07 09:00:00
67,Enfriador Comercial,4,comp_func_cond_sucio,1,27.0,8,8,1,92,tecnico,2024-07-13 11:00:00
68,Enfriador Comercial,4,comp_no_ec,12,30.9,3,3,1,90,tecnico,2024-01-27 12:00:00
69,Aire Acondicionado,3,filtros_limpios_presion_normal,11,25.1,3,4,0,88,tecnico,2024-11-14 09:00:00
70,Aire Acondicionado,3,filtros_sucios,6,23.5,13,13,1,97,tecnico,2024-08-26 18:00:00
71,Congelador,2,comp_no,3,23.8,4,4,1,80,tecnico,2024-06-08 08:00:00
72,Cuarto Frio,5,trabaja_sin_parar_filt_si,14,24.9,14,14,1,86,tecnico,2024-07-11 13:00:00
73,Aire Acondicionado,3,filtros_limpios_presion_normal,8,30.4,3,3,1,88,normal,2024-12-16 16:00:00
74,Refrigerador,1,gotea,18,26.4,9,9,1,89,normal,2024-08-07 17:00:00
75,Congelador,2,comp_func_temp_0_10,7,24.8,1,3,0,76,normal,2024-07-04 17:00:00
76,Enfriador Comercial,4,puertas_mal,2,35.5,10,10,1,95,normal,2024-11-29 11:00:00
77,Cuarto Frio,5,consumo_alto_cf,11,21.7,8,8,1,86,normal,2024-05-05 20:00:00
78,Refrigerador,1,compresor_no_clic_si,13,30.6,4,4,1,90,normal,2024-11-08 17:00:00
79,Enfriador Comercial,4,comp_no_ec,0,30.5,3,3,1,90,tecnico,2024-06-23 11:00:00
80,Cuarto Frio,5,alarmas,13,27.0,15,15,1,90,normal,2024-04-07 08:00:00
81,Aire Acondicionado,3,gotea_nueva,7,29.3,9,9,1,72,normal,2024-01-09 08:00:00
82,Congelador,2,comp_func_temp_mayor_0,6,22.9,3,3,1,96,normal,2024-07-07 14:00:00
83,Cuarto Frio,5,consumo_alto_cf,5,34.1,8,8,1,86,normal,2024-06-05 11:00:00
84,Aire Acondicionado,3,filtros_limpios_presion_normal,10,28.9,3,3,1,88,tecnico,2025-01-25 18:00:00
85,Aire Acondicionado,3,exterior_no_control_si,3,22.6,4,13,0,78,normal,2024-02-21 20:00:00
86,Aire Acondicionado,3,exterior_no_control_no,4,29.6,12,12,1,87,normal,2024-09-30 09:00:00
87,Congelador,2,comp_func_temp_0_10,17,23.2,1,1,1,76,tecnico,2024-09-08 08:00:00
88,Refrigerador,1,ruido_burbujeo,4,27.0,1,1,1,73,normal,2024-01-27 11:00:00
89,Enfriador Comercial,4,comp_func_cond_limpio,12,27.7,1,1,1,87,normal,2024-03-17 19:00:00
90,Cuarto Frio,5,cicla_hielo_si,1,29.9,11,11,1,87,normal,2024-08-01 16:00:00
91,Cuarto Frio,5,consumo_alto_cf,3,24.7,8,8,1,86,tecnico,2024-08-07 11:00:00
92,Cuarto Frio,5,consumo_alto_cf,1,28.4,8,1,0,86,tecnico,2024-04-16 17:00:00
93,Aire Acondicionado,3,exterior_no_control_no,9,30.4,12,12,1,87,normal,2024-08-18 18:00:00
94,Cuarto Frio,5,cicla_hielo_no,4,31.1,1,1,1,94,tecnico,2024-12-25 20:00:00
95,Enfriador Comercial,4,comp_func_cond_limpio,9,35.3,1,1,1,87,tecnico,2024-08-05 08:00:00
96,Cuarto Frio,5,trabaja_sin_parar_filt_no,9,25.8,1,1,1,93,tecnico,2024-02-06 07:00:00
97,Aire Acondicionado,3,exterior_no_control_no,8,33.1,12,12,1,87,normal,2024-06-04 18:00:00
98,Enfriador Comercial,4,comp_no_ec,7,20.9,3,3,1,90,normal,2024-01-21 13:00:00
99,Congelador,2,hielo_bordes,4,37.6,10,11,0,74,normal,2024-01-11 19:00:00
100,Congelador,2,hielo_bordes,0,34.6,10,8,0,74,normal,2024-08-14 11:00:00
101,Aire Acondicionado,3,codigo_error,6,33.1,12,12,1,81,normal,2024-06-13 17:00:00
102,Refrigerador,1,escarcha_poca_burbujeo_si,5,19.3,1,1,1,79,normal,2024-07-24 20:00:00
103,Cuarto Frio,5,trabaja_sin_parar_filt_si,6,27.6,14,15,0,86,tecnico,2024-01-01 17:00:00
104,Cuarto Frio,5,cicla_hielo_no,6,32.2,1,1,1,94,normal,2025-01-22 14:00:00
105,Enfriador Comercial,4,comp_func_cond_limpio,3,20.3,1,1,1,87,normal,2024-03-03 07:00:00
106,Cuarto Frio,5,trabaja_sin_parar_filt_no,10,26.2,1,1,1,93,normal,2024-07-27 08:00:00
107,Aire Acondicionado,3,filtros_limpios_presion_normal,6,34.6,3,3,1,88,tecnico,2024-09-17 18:00:00
108,Congelador,2,hielo_evaporador,12,34.1,11,3,0,74,normal,2024-03-15 13:00:00
109,Aire Acondicionado,3,codigo_error,7,34.8,12,12,1,81,tecnico,2024-07-31 12:00:00
110,Cuarto Frio,5,cicla_hielo_si,12,23.5,11,11,1,87,normal,2024-10-27 16:00:00
111,Enfriador Comercial,4,comp_func_cond_sucio,6,25.4,8,8,1,92,normal,2024-06-13 20:00:00
112,Aire Acondicionado,3,exterior_no_control_si,8,29.4,4,4,1,78,tecnico,2024-01-23 12:00:00
113,Enfriador Comercial,4,puertas_mal,14,20.2,10,10,1,95,normal,2024-03-18 14:00:00
114,Refrigerador,1,escarcha_poca_burbujeo_si,7,37.1,1,1,1,79,tecnico,2024-08-13 08:00:00
115,Cuarto Frio,5,cicla_hielo_no,0,34.0,1,1,1,94,tecnico,2024-05-15 12:00:00
116,Cuarto Frio,5,alarmas,6,35.4,15,15,1,90,normal,2024-12-11 20:00:00
117,Cuarto Frio,5,cicla_hielo_no,15,23.2,1,1,1,94,normal,2024-11-12 08:00:00
118,Aire Acondicionado,3,exterior_no_control_no,20,23.0,12,12,1,87,normal,2024-02-20 19:00:00
119,Refrigerador,1,ruido_vibracion,3,28.7,3,3,1,74,normal,2024-07-02 12:00:00
120,Enfriador Comercial,4,comp_func_cond_sucio,4,29.9,8,8,1,92,normal,2024-04-02 09:00:00
121,Aire Acondicionado,3,filtros_limpios_presion_normal,8,24.5,3,3,1,88,normal,2024-04-28 14:00:00
122,Congelador,2,hielo_evaporador,4,33.1,11,11,1,74,tecnico,2024-05-27 17:00:00
123,Cuarto Frio,5,trabaja_sin_parar_filt_no,1,40.2,1,1,1,93,tecnico,2024-12-19 11:00:00
124,Enfriador Comercial,4,comp_no_ec,3,25.0,3,3,1,90,normal,2024-05-01 13:00:00
125,Cuarto Frio,5,cicla_hielo_si,8,32.3,11,15,0,87,normal,2024-10-16 20:00:00
126,Refrigerador,1,ruido_burbujeo,10,28.8,1,6,0,73,tecnico,2024-04-27 16:00:00
127,Congelador,2,comp_func_temp_mayor_0,9,24.6,3,3,1,96,normal,2024-03-11 17:00:00
128,Refrigerador,1,hielo_puerta_mala,9,24.9,10,10,1,77,normal,2024-10-23 12:00:00
129,Aire Acondicionado,3,filtros_limpios_presion_normal,14,27.1,3,3,1,88,tecnico,2024-07-06 15:00:00
130,Cuarto Frio,5,cicla_hielo_si,12,32.7,11,11,1,87,tecnico,2024-09-03 19:00:00
131,Congelador,2,consumo_alto,13,30.5,8,8,1,93,tecnico,2024-04-25 20:00:00
132,Enfriador Comercial,4,cristales_resist_no,5,24.8,16,16,1,96,normal,2024-10-01 08:00:00
133,Enfriador Comercial,4,comp_no_ec,9,26.5,3,3,1,90,tecnico,2024-02-25 17:00:00
134,Aire Acondicionado,3,ruido_interior,0,24.3,18,18,1,92,normal,2024-11-08 10:00:00
135,Refrigerador,1,hielo_puerta_mala,12,31.9,10,10,1,77,normal,2024-01-20 11:00:00
136,Enfriador Comercial,4,comp_func_cond_limpio,1,27.2,1,8,0,87,normal,2024-07-08 17:00:00
137,Cuarto Frio,5,cicla_hielo_no,8,27.8,1,1,1,94,tecnico,2024-11-11 13:00:00
138,Congelador,2,comp_func_temp_0_10,9,20.8,1,1,1,76,normal,2024-04-30 20:00:00
139,Congelador,2,comp_func_temp_0_10,18,23.2,1,1,1,76,normal,2024-05-21 10:00:00
140,Refrigerador,1,ruido_vibracion,1,35.4,3,3,1,74,normal,2024-01-11 07:00:00
141,Congelador,2,comp_func_temp_mayor_0,19,29.6,3,3,1,96,normal,2024-04-29 12:00:00
142,Aire Acondicionado,3,codigo_error,0,26.4,12,3,0,81,tecnico,2024-10-03 11:00:00
143,Aire Acondicionado,3,filtros_limpios_presion_normal,9,29.7,3,3,1,88,normal,2024-06-14 07:00:00
144,Aire Acondicionado,3,exterior_no_control_no,1,29.1,12,12,1,87,normal,2025-01-16 08:00:00
145,Enfriador Comercial,4,cristales_resist_si,11,27.1,16,16,1,85,tecnico,2024-01-23 18:00:00
146,Cuarto Frio,5,cicla_hielo_si,6,28.8,11,1,0,87,tecnico,2024-07-24 13:00:00
147,Refrigerador,1,ruido_vibracion,10,21.0,3,3,1,74,normal,2024-03-05 11:00:00
148,Cuarto Frio,5,alarmas,8,32.0,15,15,1,90,normal,2024-11-01 15:00:00
149,Congelador,2,hielo_evaporador,7,22.6,11,11,1,74,normal,2025-01-28 15:00:00
150,Aire Acondicionado,3,gotea_nueva,6,32.0,9,9,1,72,normal,2024-08-20 13:00:00
151,Enfriador Comercial,4,puertas_mal,1,23.7,10,10,1,95,normal,2024-08-30 08:00:00
152,Refrigerador,1,escarcha_mucha_ventilador_no,1,31.6,6,6,1,73,tecnico,2024-03-07 15:00:00
153,Refrigerador,1,ruido_burbujeo,16,23.5,1,1,1,73,tecnico,2025-01-19 13:00:00
154,Refrigerador,1,compresor_no_clic_si,8,26.7,4,4,1,90,normal,2024-04-18 09:00:00
155,Enfriador Comercial,4,comp_func_cond_sucio,12,26.0,8,8,1,92,normal,2024-04-25 19:00:00
156,Enfriador Comercial,4,cristales_resist_no,17,33.1,16,16,1,96,normal,2024-11-25 15:00:00
157,Refrigerador,1,ruido_burbujeo,14,30.5,1,1,1,73,tecnico,2024-06-07 12:00:00
158,Congelador,2,comp_func_temp_0_10,3,26.2,1,1,1,76,normal,2024-02-05 09:00:00
159,Refrigerador,1,escarcha_mucha_ventilador_no,10,29.9,6,6,1,73,normal,2025-01-04 12:00:00
160,Cuarto Frio,5,consumo_alto_cf,1,33.1,8,8,1,86,normal,2024-11-12 07:00:00
161,Refrigerador,1,compresor_no_clic_si,6,24.1,4,4,1,90,normal,2024-09-19 08:00:00
162,Congelador,2,hielo_evaporador,2,31.5,11,11,1,74,normal,2024-09-26 17:00:00
163,Congelador,2,comp_func_temp_0_10,3,30.3,1,1,1,76,tecnico,2025-01-27 09:00:00
164,Congelador,2,comp_no,5,28.9,4,4,1,80,tecnico,2024-03-30 09:00:00
165,Enfriador Comercial,4,cristales_resist_no,9,21.4,16,16,1,96,normal,2025-01-14 07:00:00
166,Enfriador Comercial,4,comp_func_cond_limpio,6,29.0,1,1,1,87,normal,2024-08-07 16:00:00
167,Enfriador Comercial,4,puertas_mal,9,28.0,10,3,0,95,tecnico,2024-11-12 14:00:00
168,Congelador,2,comp_func_temp_0_10,6,33.0,1,8,0,76,normal,2024-07-24 15:00:00
169,Refrigerador,1,compresor_no_voltaje_no,13,28.9,17,17,1,94,normal,2024-11-20 08:00:00
170,Cuarto Frio,5,consumo_alto_cf,3,26.2,8,8,1,86,normal,2024-11-26 20:00:00
171,Aire Acondicionado,3,exterior_no_control_si,2,28.9,4,4,1,78,tecnico,2024-02-08 09:00:00
172,Enfriador Comercial,4,cristales_resist_si,10,31.5,16,16,1,85,normal,2024-10-16 17:00:00
173,Cuarto Frio,5,cicla_hielo_si,13,27.4,11,11,1,87,normal,2024-06-04 19:00:00
174,Congelador,2,hielo_bordes,1,27.4,10,10,1,74,normal,2024-08-19 07:00:00
175,Refrigerador,1,compresor_no_voltaje_si,12,36.1,3,3,1,89,normal,2024-09-16 13:00:00
176,Enfriador Comercial,4,cristales_resist_no,7,32.7,16,16,1,96,tecnico,2024-08-18 19:00:00
177,Cuarto Frio,5,alarmas,3,25.3,15,14,0,90,normal,2024-06-24 18:00:00
178,Refrigerador,1,ruido_zumbido,9,26.1,18,18,1,83,tecnico,2024-08-12 15:00:00
179,Cuarto Frio,5,consumo_alto_cf,2,26.7,8,8,1,86,normal,2024-11-02 07:00:00
180,Congelador,2,comp_func_temp_0_10,5,31.3,1,1,1,76,normal,2024-05-09 18:00:00
181,Cuarto Frio,5,trabaja_sin_parar_filt_no,5,27.1,1,1,1,93,tecnico,2024-12-23 17:00:00
182,Enfriador Comercial,4,comp_func_cond_sucio,8,27.9,8,10,0,92,normal,2024-11-25 19:00:00
183,Congelador,2,comp_func_temp_mayor_0,9,32.1,3,3,1,96,normal,2024-11-26 17:00:00
184,Enfriador Comercial,4,cristales_resist_no,5,23.2,16,16,1,96,normal,2024-04-19 12:00:00
185,Enfriador Comercial,4,comp_func_cond_sucio,3,30.0,8,8,1,92,normal,2025-01-29 15:00:00
186,Cuarto Frio,5,trabaja_sin_parar_filt_si,9,30.2,14,8,0,86,normal,2024-03-19 09:00:00
187,Aire Acondicionado,3,codigo_error,11,31.2,12,12,1,81,normal,2024-05-01 14:00:00
188,Cuarto Frio,5,cicla_hielo_si,10,32.7,11,11,1,87,normal,2024-05-02 11:00:00
189,Enfriador Comercial,4,comp_func_cond_sucio,5,39.9,8,8,1,92,normal,2024-07-14 15:00:00
190,Cuarto Frio,5,cicla_hielo_no,16,25.2,1,1,1,94,tecnico,2024-03-11 20:00:00
191,Congelador,2,comp_func_temp_0_10,9,32.6,1,1,1,76,tecnico,2024-03-04 11:00:00
192,Refrigerador,1,gotea,3,25.4,9,9,1,89,normal,2024-08-11 08:00:00
193,Aire Acondicionado,3,ruido_interior,13,32.8,18,18,1,92,normal,2024-07-16 08:00:00
194,Congelador,2,comp_func_temp_mayor_0,0,27.2,3,3,1,96,tecnico,2024-11-28 12:00:00
195,Aire Acondicionado,3,filtros_sucios,0,32.9,13,13,1,97,tecnico,2024-08-28 14:00:00
196,Cuarto Frio,5,trabaja_sin_parar_filt_si,14,26.8,14,14,1,86,normal,2024-03-17 15:00:00
197,Cuarto Frio,5,consumo_alto_cf,6,29.5,8,8,1,86,normal,2024-11-23 19:00:00
198,Cuarto Frio,5,cicla_hielo_no,1,26.1,1,1,1,94,normal,2024-10-01 07:00:00
199,Cuarto Frio,5,consumo_alto_cf,4,31.6,8,8,1,86,normal,2024-08-01 09:00:00
200,Refrigerador,1,ruido_zumbido,17,32.3,18,18,1,83,normal,2024-09-16 19:00:00
201,Cuarto Frio,5,consumo_alto_cf,0,29.8,8,8,1,86,normal,2025-01-17 07:00:00
202,Congelador,2,comp_func_temp_0_10,5,28.1,1,1,1,76,normal,2025-01-30 16:00:00
203,Congelador,2,comp_func_temp_mayor_0,0,22.0,3,3,1,96,tecnico,2024-08-25 18:00:00
204,Enfriador Comercial,4,puertas_mal,3,26.9,10,10,1,95,tecnico,2024-08-22 07:00:00
205,Congelador,2,comp_func_temp_mayor_0,0,29.4,3,3,1,96,normal,2024-10-05 14:00:00
206,Congelador,2,comp_func_temp_0_10,10,30.1,1,1,1,76,normal,2025-02-03 07:00:00
207,Congelador,2,comp_no,2,23.3,4,4,1,80,tecnico,2024-07-16 12:00:00
208,Aire Acondicionado,3,ruido_interior,9,35.2,18,18,1,92,tecnico,2024-05-16 19:00:00
209,Refrigerador,1,hielo_puerta_bien,6,17.2,11,11,1,85,normal,2024-02-22 08:00:00
210,Congelador,2,consumo_alto,4,34.5,8,8,1,93,tecnico,2024-03-26 18:00:00
211,Enfriador Comercial,4,comp_no_ec,6,27.7,3,3,1,90,normal,2024-11-23 19:00:00
212,Refrigerador,1,escarcha_mucha_ventilador_no,9,20.3,6,6,1,73,normal,2025-01-18 17:00:00
213,Aire Acondicionado,3,filtros_limpios_presion_baja,2,23.6,1,1,1,77,normal,2025-02-02 17:00:00
214,Congelador,2,comp_no,5,24.6,4,4,1,80,normal,2024-12-13 14:00:00
215,Congelador,2,comp_no,6,30.9,4,4,1,80,normal,2024-05-22 10:00:00
216,Refrigerador,1,escarcha_mucha_ventilador_si,10,30.0,5,5,1,88,normal,2024-10-14 08:00:00
217,Congelador,2,comp_no,9,30.2,4,4,1,80,tecnico,2024-04-12 08:00:00
218,Aire Acondicionado,3,filtros_limpios_presion_normal,6,34.4,3,12,0,88,tecnico,2024-12-15 20:00:00
219,Congelador,2,consumo_alto,5,33.6,8,8,1,93,tecnico,2024-12-30 18:00:00
220,Aire Acondicionado,3,gotea_antigua,7,31.0,9,9,1,94,normal,2024-03-12 10:00:00
221,Enfriador Comercial,4,comp_func_cond_limpio,5,25.0,1,8,0,87,normal,2024-02-14 08:00:00
222,Congelador,2,hielo_evaporador,20,27.0,11,11,1,74,normal,2025-01-28 13:00:00
223,Cuarto Frio,5,trabaja_sin_parar_filt_si,2,28.4,14,14,1,86,normal,2024-03-06 20:00:00
224,Cuarto Frio,5,alarmas,8,30.4,15,15,1,90,normal,2024-09-14 20:00:00
225,Refrigerador,1,escarcha_mucha_ventilador_no,7,28.2,6,4,0,73,normal,2024-09-22 11:00:00
226,Refrigerador,1,compresor_no_clic_si,3,31.2,4,6,0,90,normal,2024-06-04 16:00:00
227,Cuarto Frio,5,trabaja_sin_parar_filt_si,7,33.7,14,14,1,86,normal,2025-01-03 16:00:00
228,Congelador,2,hielo_bordes,0,37.3,10,1,0,74,normal,2024-11-24 19:00:00
229,Cuarto Frio,5,cicla_hielo_si,9,29.4,11,11,1,87,normal,2024-11-17 15:00:00
230,Congelador,2,consumo_alto,16,24.9,8,8,1,93,tecnico,2024-12-16 13:00:00
231,Congelador,2,hielo_evaporador,1,33.0,11,11,1,74,normal,2024-11-06 09:00:00
232,Congelador,2,consumo_alto,5,30.6,8,4,0,93,tecnico,2024-03-07 19:00:00
233,Congelador,2,hielo_bordes,8,27.1,10,10,1,74,normal,2024-02-19 07:00:00
234,Congelador,2,hielo_evaporador,13,33.1,11,11,1,74,tecnico,2024-03-22 20:00:00
235,Congelador,2,hielo_bordes,10,29.9,10,8,0,74,normal,2024-06-06 14:00:00
236,Refrigerador,1,escarcha_mucha_ventilador_no,15,31.2,6,6,1,73,tecnico,2024-04-20 16:00:00
237,Congelador,2,comp_func_temp_0_10,1,20.7,1,1,1,76,normal,2024-10-01 07:00:00
238,Refrigerador,1,compresor_no_voltaje_no,2,29.3,17,17,1,94,normal,2024-07-25 12:00:00
239,Refrigerador,1,compresor_no_voltaje_no,1,25.5,17,17,1,94,normal,2024-08-18 19:00:00
240,Cuarto Frio,5,cicla_hielo_si,12,27.6,11,11,1,87,normal,2024-03-06 08:00:00
241,Enfriador Comercial,4,comp_no_ec,11,24.0,3,3,1,90,normal,2024-09-17 13:00:00
242,Cuarto Frio,5,trabaja_sin_parar_filt_si,0,37.0,14,14,1,86,normal,2024-08-30 15:00:00
243,Enfriador Comercial,4,comp_func_cond_sucio,8,25.5,8,8,1,92,normal,2024-11-11 18:00:00
244,Congelador,2,hielo_bordes,5,28.7,10,11,0,74,normal,2024-10-15 11:00:00
245,Enfriador Comercial,4,comp_func_cond_limpio,5,23.8,1,1,1,87,tecnico,2025-01-06 20:00:00
246,Refrigerador,1,ruido_burbujeo,6,19.1,1,18,0,73,normal,2025-01-04 07:00:00
247,Cuarto Frio,5,cicla_hielo_no,3,25.2,1,1,1,94,normal,2024-12-14 10:00:00
248,Refrigerador,1,ruido_burbujeo,15,25.0,1,1,1,73,normal,2024-06-09 13:00:00
249,Aire Acondicionado,3,gotea_nueva,9,23.2,9,18,0,72,tecnico,2024-12-27 09:00:00
250,Cuarto Frio,5,trabaja_sin_parar_filt_no,8,32.7,1,15,0,93,normal,2024-06-09 09:00:00
251,Enfriador Comercial,4,cristales_resist_no,5,24.8,16,16,1,96,normal,2024-12-20 11:00:00
252,Cuarto Frio,5,cicla_hielo_no,3,34.5,1,8,0,94,normal,2024-04-25 11:00:00
253,Congelador,2,consumo_alto,3,28.0,8,8,1,93,tecnico,2025-01-04 11:00:00
254,Congelador,2,comp_func_temp_0_10,8,25.6,1,1,1,76,tecnico,2024-07-21 20:00:00
255,Congelador,2,comp_func_temp_mayor_0,4,27.5,3,3,1,96,normal,2024-05-11 18:00:00
256,Enfriador Comercial,4,comp_func_cond_sucio,3,35.2,8,8,1,92,tecnico,2024-12-22 11:00:00
257,Aire Acondicionado,3,filtros_limpios_presion_normal,8,26.5,3,3,1,88,normal,2024-11-22 10:00:00
258,Refrigerador,1,escarcha_mucha_ventilador_no,6,27.5,6,6,1,73,normal,2025-01-29 09:00:00
259,Refrigerador,1,ruido_zumbido,18,32.2,18,18,1,83,normal,2025-01-22 11:00:00
260,Congelador,2,comp_no,9,33.9,4,1,0,80,normal,2024-04-28 15:00:00
